size, best, average, worst
0, 0.000000, 0.000000, 0.000000
100, 0.000000, 0.000000, 0.000000
200, 0.000000, 0.000000, 0.000000
300, 0.000000, 0.000000, 0.000000
400, 0.000000, 0.000000, 0.000000
500, 0.000000, 0.000000, 0.000000
600, 0.000000, 0.000000, 0.000000
700, 0.000000, 0.000000, 0.000000
800, 0.000000, 0.000000, 0.000000
900, 0.000000, 0.000000, 0.000000
1000, 0.000000, 0.000000, 0.000000
