size, best, average, worst
0, 0, 0, 0
500, 4231, 8688, 6453
1000, 9231, 20301, 14419
1500, 15087, 33907, 22307
2000, 21087, 45936, 31425
2500, 27087, 59215, 40307
3000, 33087, 74638, 53317
3500, 39087, 88051, 62625
4000, 45087, 101604, 70561
4500, 51703, 116418, 75949
5000, 58703, 132961, 88623
