size, best, average, worst
0, 0, 0, 0
500, 0, 4457, 2222
1000, 0, 11070, 5188
1500, 0, 18820, 7220
2000, 0, 24849, 10338
2500, 0, 32128, 13220
3000, 0, 41551, 20230
3500, 0, 48964, 23538
4000, 0, 56517, 25474
4500, 0, 64715, 24246
5000, 0, 74258, 29920
