size, best, average, worst
0, 0.000005, 0.000004, 0.000004
2, 0.000010, 0.000011, 0.000011
4, 0.000020, 0.000025, 0.000030
6, 0.000030, 0.000051, 0.000060
8, 0.000041, 0.000077, 0.000099
10, 0.000052, 0.000116, 0.000148
12, 0.000064, 0.000164, 0.000204
14, 0.000077, 0.000206, 0.000269
16, 0.000091, 0.000264, 0.000344
18, 0.000103, 0.000318, 0.000427
20, 0.000116, 0.000377, 0.000519
