size, best, average, worst
0, 0, 0, 0
200, 1661, 2832, 2261
400, 4045, 6680, 5545
600, 6637, 10938, 8709
800, 9437, 15462, 12325
1000, 12381, 20004, 15889
1200, 15581, 24959, 19845
1400, 18781, 29893, 23833
1600, 21981, 34888, 27621
1800, 25181, 40187, 32447
2000, 28381, 44832, 36123
