size, best, average, worst
0, 0, 0, 0
500, 0, 2938, 2100
1000, 0, 8005, 4700
1500, 0, 11995, 7096
2000, 0, 19260, 10400
2500, 0, 26955, 13140
3000, 0, 31134, 15692
3500, 0, 36280, 17960
4000, 0, 48210, 22800
4500, 0, 49561, 26340
5000, 0, 62989, 28780
