size, best, average, worst
0, 0, 0, 0
100, 868, 976, 887
200, 2031, 2283, 2064
300, 3261, 3588, 3298
400, 4701, 5179, 4716
500, 6134, 6608, 6156
600, 7596, 8225, 7627
700, 9018, 9725, 9067
800, 10597, 11400, 10635
900, 12267, 13094, 12261
1000, 13988, 14831, 13946
