size, best, average, worst
0, 0.000000, 0.000000, 0.000000
500, 0.000000, 0.000000, 0.000000
1000, 0.000000, 1.006000, 0.000000
1500, 0.000000, 0.000000, 0.999000
2000, 0.000000, 0.000000, 0.996000
2500, 0.000000, 0.999000, 0.000000
3000, 1.005000, 0.996000, 0.000000
3500, 1.002000, 1.000000, 0.000000
4000, 1.001000, 1.000000, 0.000000
4500, 1.000000, 1.998000, 0.000000
5000, 1.000000, 1.992000, 0.000000
