size, best, average, worst
0, 0, 0, 0
100, 452, 560, 471
200, 1045, 1297, 1078
300, 1675, 2002, 1712
400, 2414, 2892, 2429
500, 3147, 3621, 3169
600, 3909, 4538, 3940
700, 4631, 5338, 4680
800, 5409, 6212, 5447
900, 6279, 7106, 6273
1000, 7200, 8043, 7158
