size, best, average, worst
0, 0.000000, 0.000000, 0.000000
500, 0.000000, 0.000000, 0.000000
1000, 0.000000, 0.000000, 0.000000
1500, 0.000000, 1.001000, 0.000000
2000, 0.000000, 0.993000, 0.000000
2500, 0.000000, 0.999000, 0.000000
3000, 0.000000, 0.000000, 1.001000
3500, 0.000000, 1.000000, 1.001000
4000, 0.000000, 1.003000, 0.996000
4500, 0.000000, 1.000000, 0.997000
5000, 0.000000, 2.003000, 0.000000
