size, best, average, worst
0, 0, 0, 0
1000, 0, 78650, 35080
2000, 0, 173980, 77420
3000, 0, 277060, 120280
4000, 0, 392160, 172460
5000, 0, 493630, 184060
6000, 0, 601350, 257660
7000, 0, 726780, 321260
8000, 0, 837440, 357680
9000, 0, 963540, 408720
10000, 0, 1073250, 431300
