size, best, average, worst
0, 0, 0, 0
1000, 0, 2526950, 499500
2000, 0, 9736090, 1999000
3000, 0, 22069070, 4498500
4000, 0, 39785040, 7998000
5000, 0, 62270660, 12497500
6000, 0, 89171300, 17997000
7000, 0, 121652650, 24496500
8000, 0, 158824930, 31996000
9000, 0, 201349940, 40495500
10000, 0, 247156670, 49995000
