size, best, average, worst
0, 0.000000, 0.000000, 0.000000
1000, 0.099800, 0.099600, 0.000000
2000, 0.100600, 0.199600, 0.100200
3000, 0.099700, 0.300300, 0.100000
4000, 0.199900, 0.500500, 0.299800
5000, 0.199800, 0.699800, 0.400400
6000, 0.200200, 0.900100, 0.300000
7000, 0.399900, 0.999800, 0.399800
8000, 0.400100, 1.199800, 0.500100
9000, 0.500200, 1.399400, 0.500400
10000, 0.500100, 1.499800, 0.699800
