size, best, average, worst
0, 0, 0, 0
1000, 0, 69710, 30900
2000, 0, 156500, 84120
3000, 0, 257520, 130080
4000, 0, 377880, 201740
5000, 0, 501930, 313460
6000, 0, 636870, 389300
7000, 0, 796150, 521220
8000, 0, 942160, 650100
9000, 0, 1101330, 827480
10000, 0, 1281920, 929980
