size, best, average, worst
0, 0.000000, 0.000000, 0.000000
1000, 0.099900, 0.099500, 0.000000
2000, 0.101100, 0.199400, 0.100400
3000, 0.100000, 0.299500, 0.100000
4000, 0.199600, 0.401000, 0.200100
5000, 0.105700, 0.593600, 0.299400
6000, 0.200500, 0.699600, 0.300100
7000, 0.199800, 0.800000, 0.401100
8000, 0.299900, 1.098900, 0.299900
9000, 0.300800, 1.199500, 0.501800
10000, 0.399000, 1.399500, 0.400000
