size, best, average, worst
0, 0.000000, 0.000000, 0.000000
1000, 0.000000, 0.099600, 0.000000
2000, 0.100100, 0.300100, 0.100000
3000, 0.100000, 0.399700, 0.100000
4000, 0.200500, 0.701500, 0.198500
5000, 0.198000, 0.801200, 0.400800
6000, 0.298100, 0.899500, 0.400500
7000, 0.299800, 1.399600, 0.500000
8000, 0.400800, 1.199900, 0.699700
9000, 0.500900, 1.700200, 0.701200
10000, 0.500000, 1.699800, 0.806000
