size, best, average, worst
0, 0, 0, 0
1000, 9231, 20301, 14419
2000, 21087, 45936, 31425
3000, 33087, 74638, 53317
4000, 45087, 101604, 70561
5000, 58703, 132961, 88623
6000, 72703, 164515, 105783
7000, 86703, 196447, 123881
8000, 100703, 228614, 151725
9000, 114703, 261134, 171141
10000, 128703, 294240, 186843
