size, best, average, worst
0, 0, 0, 0
1000, 16031, 24036, 20731
2000, 36033, 55293, 46433
3000, 60037, 91171, 75729
4000, 80035, 128245, 102835
5000, 110035, 173024, 138815
6000, 132039, 206141, 166423
7000, 154039, 242299, 193459
8000, 176037, 293426, 225637
9000, 216037, 333942, 273217
10000, 240037, 393939, 302597
