size, best, average, worst
0, 0, 0, 0
1000, 0, 110700, 51880
2000, 0, 248490, 103380
3000, 0, 415510, 202300
4000, 0, 565170, 254740
5000, 0, 742580, 299200
6000, 0, 918120, 330800
7000, 0, 1097440, 371780
8000, 0, 1279110, 510220
9000, 0, 1464310, 564380
10000, 0, 1655370, 581400
